epoch,train_loss,train_mi,train_reg,train_jac_loss,val_loss,val_mi,val_reg,val_jac_loss,val_ncc,lr,train_dice_loss,val_dice_loss
0,-0.20585939532518388,-0.2100918075442314,0.014827080124989152,5.647686207588265e-13,-0.212918999163728,-0.22828225007182673,0.06521137529297878,9.697430110384475e-10,0.5945656174107602,0.0002999262307746768,0.0012669954299926757,0.0023209766337746068
1,-0.2300372989177704,-0.2507543317079544,0.08387070018053054,8.633210150804649e-08,-0.22111553032147258,-0.2444353323233755,0.10269737478933837,2.045079110151405e-07,0.6386101277250993,0.0002997049959000266,0.0039428496360778805,0.0027802241475958574
2,-0.23404713547229766,-0.2588805010318756,0.10437432354688644,1.254943100361769e-06,-0.2247455457323476,-0.24703645706176758,0.0997036887626899,3.43456429787842e-07,0.6403818632427015,0.0002993365137081604,0.003957874298095703,0.002350000958693655
3,-0.2385464170575142,-0.2655881179571152,0.11488027176260948,3.465931301503411e-06,-0.22887083103782252,-0.25994630236374705,0.1387878503454359,5.8407410736699125e-06,0.6492961707868075,0.00029882114784651444,0.004063914775848389,0.0033149813350878262
4,-0.24179228228330613,-0.2711818550825119,0.12395164906978608,7.67848754450523e-06,-0.2307660101275695,-0.2589041951455568,0.12126552784129192,4.686093254161063e-06,0.652053785951514,0.00029815940691897306,0.00459540319442749,0.003882734399092825
5,-0.24548038071393966,-0.2755882878303528,0.12743712943792343,1.2699643311776753e-05,-0.23211340370931124,-0.2628072468858016,0.13706896767804497,1.3824008165460997e-05,0.6477841578031841,0.00029735194398393893,0.004614130973815918,0.003273138874455502
6,-0.24551186847686768,-0.2765219951868057,0.131719930768013,1.7118682912837358e-05,-0.23584046567741193,-0.2696072263152976,0.1495176945862017,2.8165745053037856e-05,0.6518316708113018,0.0002963995559098427,0.004657580852508545,0.0038491362019589075
7,-0.24707469725608824,-0.27894493770599366,0.13562908935546875,2.2256299041252703e-05,-0.23604000320560053,-0.2647538789008793,0.1334615569365652,7.933434295188435e-06,0.6415389807600724,0.00029530318258873034,0.004733294486999512,0.002017601540214137
8,-0.24965745663642883,-0.2816771171092987,0.13565094953775406,2.2838127801179552e-05,-0.23815134167671204,-0.27149285297644765,0.14865375231755407,3.8763980736994676e-05,0.6462663474835848,0.00029406390600870296,0.0048780498504638675,0.0035913774841710142
9,-0.2511879578828812,-0.28439532995224,0.13990870594978333,3.254598121465069e-05,-0.23698455095291138,-0.2719636449688359,0.15709116937298523,5.1223657949680945e-05,0.6562014096661618,0.0002926829491861254,0.005209358215332032,0.0035352487313119988
10,-0.25273868453502657,-0.28613087034225465,0.14064950633049011,3.49664094926112e-05,-0.23982129991054535,-0.27475650530112417,0.14910056206740832,3.916245066193369e-05,0.6460461585145247,0.0002911616749586567,0.0052448010444641115,0.0050955101063376975
11,-0.25417103469371793,-0.2881912732124329,0.1439500667452812,4.3593119639524505e-05,-0.238688430503795,-0.269975093634505,0.1420265334217172,3.6060301310594934e-05,0.6389048821047733,0.00028950158464029354,0.005208427906036377,0.002863322433672453
12,-0.25355248045921325,-0.28726070702075956,0.14306954425573348,4.31311151442344e-05,-0.24165427684783936,-0.2757242596463153,0.1552255812444185,4.19876126957924e-05,0.6433958285733273,0.00028770431653975514,0.005072751998901367,0.0030038733231393913
13,-0.2536182055473328,-0.28794056606292723,0.14572339862585068,4.5951971817430607e-05,-0.23962996664800143,-0.27821776114012065,0.1719586331593363,7.15787903237996e-05,0.6613994993661579,0.0002857716443436699,0.005154704570770264,0.004160278721859581
14,-0.2556324850320816,-0.2902573118209839,0.14615070080757142,5.215389417116967e-05,-0.2419307718151494,-0.27571590323197215,0.1528214129962419,5.002284792441826e-05,0.6422360037502489,0.00028370547536616097,0.0053686084747314455,0.003195837924354955
15,-0.25572529900074004,-0.29052386116981505,0.14765019798278808,5.356732670543352e-05,-0.2426025992945621,-0.2801440413060941,0.16167398542165756,9.08876983741816e-05,0.6479543667090567,0.00028150784866655756,0.005241738796234131,0.005161200699053313
16,-0.2578010231256485,-0.2930412890911102,0.14966411340236663,5.8687600688244855e-05,-0.24301345332672722,-0.2758786333234687,0.1456722370103786,3.779648707342475e-05,0.6373224838783866,0.00027918093303708956,0.005278099060058594,0.0037118353341755116
17,-0.25804074931144716,-0.2932691080570221,0.14977009224891663,5.7980887534675674e-05,-0.24391555864559977,-0.27955404708259984,0.15926756003969594,6.289520154879076e-05,0.6422122277711567,0.00027672702486255125,0.0052453503608703616,0.0037535272146526134
18,-0.2612595794200897,-0.2969927096366882,0.15176071149110795,5.841937155219057e-05,-0.24436550077639127,-0.2809989028855374,0.16130881952612022,6.398771850064422e-05,0.6429505065867775,0.00027414854585404696,0.005351778507232666,0.0043396447834215665
19,-0.25930341315269473,-0.2951075313091278,0.1526594098210335,6.373420027188104e-05,-0.24378936541707893,-0.27517499029636383,0.1439586242562846,3.647188584995762e-05,0.6338542495903216,0.0002714480406590546,0.005240369319915772,0.002575664143813284
20,-0.2599115642309189,-0.2959136939048767,0.15306637609004975,6.836259047054227e-05,-0.24233766135416532,-0.2752662442232433,0.14520158422620674,5.052528993138893e-05,0.6238653314741034,0.0002686281743501657,0.005354671955108642,0.0038630021245856035
21,-0.26115370774269103,-0.29743553483486174,0.15365268486738204,6.76467602916091e-05,-0.24700108092082174,-0.282671268833311,0.159905385814215,8.060493758564821e-05,0.6411872600254259,0.0002656917297949805,0.005517465114593506,0.0036488081279553867
22,-0.25988191723823545,-0.29583444905281064,0.15302096736431123,7.237020782986292e-05,-0.24574726114147588,-0.2861221526798449,0.18144380889440836,0.0001271869247207896,0.6553284149420889,0.00026264160490975367,0.005312153339385986,0.00402253552487022
23,-0.26145107758045194,-0.2979072779417038,0.15496132498979567,7.308345798514893e-05,-0.24623066265332072,-0.28642327142389196,0.1735428763847602,8.783987799401267e-05,0.6599006558719435,0.00025948080979950103,0.005427392482757568,0.005440112791563335
24,-0.2618857033252716,-0.29847756958007815,0.1558408478498459,7.795267494782365e-05,-0.24757020489165657,-0.2852034098223636,0.1586018639959787,8.640714833362788e-05,0.6420242002135829,0.00025621246378738883,0.00538472032546997,0.005869630135987934
