diff_mean,diff_std,diff_median,diff_p95,diff_max,subject_id,split
1.15656,1.0,0.83579,3.27989,3.58678,1BC004,train
1.18985,1.0,0.8864,3.32188,3.70192,1BB043,train
1.25732,1.0,0.93627,3.29339,3.76558,1BC017,train
1.13955,1.0,0.813,3.36102,3.7125,1BC041,train
1.17561,1.0,0.82839,3.31765,3.76809,1BB049,train
1.17809,1.0,0.83993,3.29936,3.82477,1BB028,train
1.13432,1.0,0.77721,3.33289,3.67446,1BA300,train
1.08512,1.0,0.66411,3.15709,3.38453,1BA005,train
1.28545,1.0,1.0157,3.20183,3.45071,1BB051,train
1.28906,1.0,1.04633,3.35219,3.66922,1BA143,train
1.33469,1.0,1.13318,3.44449,3.84887,1BA260,train
1.17419,1.0,0.84409,3.35575,3.75845,1BB039,train
1.13377,1.0,0.69826,3.07678,3.19054,1BA125,train
1.3283,1.0,1.09897,3.3021,3.50848,1BB050,train
1.33633,1.0,1.10054,3.3769,3.86267,1BB152,train
1.11943,1.0,0.71277,3.10494,3.45073,1BC050,train
1.16261,1.0,0.85246,3.36687,4.02113,1BB177,train
1.41047,1.0,1.11895,3.41521,4.09559,1BC073,train
1.17607,1.0,0.81153,3.22341,3.46736,1BC066,train
1.24744,1.0,0.9988,3.36815,3.80444,1BB071,train
1.2135,1.0,0.89979,3.27632,3.55084,1BB008,train
1.09783,1.0,0.69025,3.19734,3.61135,1BA172,train
1.16285,1.0,0.8172,3.25219,3.55973,1BC052,train
1.24177,1.0,0.94981,3.25298,3.79155,1BC056,train
1.28588,1.0,1.03042,3.34617,3.56453,1BB073,train
1.11745,1.0,0.7069,3.11101,3.36462,1BA368,train
1.12523,1.0,0.78563,3.20868,3.78613,1BC076,train
1.14737,1.0,0.78749,3.18458,3.33032,1BA201,train
1.1318,1.0,0.77204,3.21839,3.40187,1BC085,train
1.22154,1.0,0.93339,3.35329,3.8028,1BB100,train
1.17079,1.0,0.82462,3.2293,3.5061,1BC053,train
1.2113,1.0,0.91083,3.30378,3.67027,1BC077,train
1.20387,1.0,0.91278,3.28092,3.73576,1BB031,train
1.15587,1.0,0.78576,3.2195,3.51371,1BC082,train
1.19881,1.0,0.81934,3.04137,3.16223,1BA206,train
1.17455,1.0,0.75736,3.08336,3.19522,1BA379,train
